Url kad.arbitr,Название,Сумма иска,Проверить сумму иска,Директор,КПП,Адрес,Companiumru Телефон,Companiumru Эл. почта,Companiumru Сайт
https://kad.arbitr.ru/Card/29ee6d91-93a4-4f75-9b53-bc62167375f5,"ООО ""ДЭЗИС""",6068582.67,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Щуров Юрий Михайлович,773301001,"125466, ГОРОД МОСКВА, КУРКИНСКОЕ ШОССЕ, ДОМ 38, КОРПУС 1, ПОМЕЩЕНИЕ 1",+7 495 784-63-74; +7 495 744-89-16; +7 495 744-89-55; +7 495 744-15-86; +7 495 637-62-70; +7 495 317-00-31; +7 495 317-00-71; +7 495 913-42-02; +7 495 744-15-87; +7 499 271-79-17; +7 465 317-00-71,info@dezis.ru,dezis.ru; my.dom.gosuslugi.ru
https://kad.arbitr.ru/Card/8fba2049-bba9-43bd-b518-0c4ad87bca7f,"ООО ""ТЕНАЛЬ""",0,да,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Кузнецов Николай Сергеевич,772801001,"117342, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КОНЬКОВО, БУТЛЕРОВА УЛ., Д. 17Б, ЭТ./ПОМЕЩ. 2/XI, КОМ. 61(РМ77)",+7 903 136-36-33,,
https://kad.arbitr.ru/Card/de816b3d-b052-40c1-af4c-018f4f5e7f99,"ООО НК ""МАСТЕР-НЕФТЬ""",12744970.55,нет,,110601001,"169710, РЕСП КОМИ, УСИНСК Г, НЕФТЯНИКОВ УЛ, Д. 26",+7 821 228-84-80; +7 821 444-00-34; +7 821 442-77-15,kogalym@masterneft.ru,
https://kad.arbitr.ru/Card/af11cd87-5341-4765-b61b-76170962a2a1,"ООО ""ФЕРРОМОНТ РАША""",1464750,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Маттауш Андреас,772801001,"117198, ГОРОД МОСКВА, ЛЕНИНСКИЙ ПРОСПЕКТ, ДОМ 113/1, ПОМЕЩЕНИЕ 407С",+7 905 609-87-23; +7 499 418-02-08; +7 906 563-55-22; +7 499 418-02-48,,
https://kad.arbitr.ru/Card/665d96e6-d592-4ae5-948e-e0f2c011be1c,"ТСЖ ВСК ""1-Й ОЧАКОВСКИЙ ПЕРЕУЛОК, 3 """,647557.17,нет,ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ: Хайндрава Владимир Вячеславович,772901001,"119361, ГОРОД МОСКВА, 1-Й ОЧАКОВСКИЙ ПЕРЕУЛОК, 3",+7 499 245-95-48; +7 495 245-95-48; +7 495 430-53-89; +7 499 730-37-11,tsg-3@bk.ru,reformagkh.ru
https://kad.arbitr.ru/Card/08258f3d-7193-402e-afb4-f18e79645fd6,"ООО ""МПО ЭНЕРГЕТИЧЕСКИЕ ИННОВАЦИИ""",3024657.54,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Трефилов Алексей Юрьевич,770901001,"109004, ГОРОД МОСКВА, ТЕТЕРИНСКИЙ ПЕРЕУЛОК, ДОМ 16, Э 1 ПОМ IV К 2 ОФ 4",+7 499 251-80-96; +7 499 250-84-51,palek@comail.ru,tedom.com
https://kad.arbitr.ru/Card/15321e01-04bd-4f6b-8492-b68c6da08319,"ООО ""СТРОЙ ИНВЕСТ""",17085513.05,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Гуминский Кирилл Викторович,772201001,"111033, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЛЕФОРТОВО, СЛОБОДСКОЙ ПЕР., Д. 6, СТР. 10",+7 968 588-88-96,,
https://kad.arbitr.ru/Card/ace27f7a-beb8-4b36-8aa6-37e3298162d1,"ООО ""РИК""",320533.2,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Духова Каринэ Суриковна,503101001,"142470, МОСКОВСКАЯ ОБЛАСТЬ, ЭЛЕКТРОСТАЛЬ ГОРОД, ФРЯЗЕВО ПОСЕЛОК, ЛИНЕЙНАЯ УЛИЦА, 1",+7 916 466-80-36; +7 496 516-33-66,,
https://kad.arbitr.ru/Card/9456e842-2894-4b22-915d-61f8879982dd,"ООО ""ПОЛИМЕР ЭКСПЕРТ""",723000,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Калугин Роман Александрович,771601001,"129128, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ РОСТОКИНО, КАДОМЦЕВА ПР-Д, Д. 9, ОФИС/ПОМЕЩ. 10/5 П",+7 916 178-03-68,9779504828@bk.ru,
https://kad.arbitr.ru/Card/6f298f3b-1496-45fe-8508-f15acd4e3af6,"ООО ""СБ""",33795453.01,нет,ДИРЕКТОР: Ефимов Антон Борисович,532101001,"173501, РОССИЯ, НОВГОРОДСКАЯ ОБЛ., НОВГОРОДСКИЙ М.Р-Н, ТРУБИЧИНСКОЕ С.П., ТРУБИЧИНО Д., НАВОЛОЦКАЯ УЛ., Д. 3, ПОМЕЩ. 1",+7 921 692-75-43; +7 921 841-44-24; +7 963 333-00-07; +7 816 277-11-10; +7 911 600-31-14; +7 816 290-47-77,remont53@mail.ru,sbnov.ru; sb-nov.ru
https://kad.arbitr.ru/Card/a6be0173-30d0-428f-af8f-f59d42fd827b,"ООО ""ЕВРОСАЙД""",561668.6,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Евдокимов Григорий Игоревич,773101001,"121354, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ МОЖАЙСКИЙ, ГРИШИНА УЛ., Д. 5, КВ. 40",,euroside@mail.ru,
https://kad.arbitr.ru/Card/db3c8a15-0ef0-45b9-b4d1-266c4853ddc1,"ООО ""УК ""НИКА""",148430.05,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Никифоров Валентин Владимирович,771001001,"127006, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТВЕРСКОЙ, САДОВАЯ-ТРИУМФАЛЬНАЯ УЛ., Д. 16, СТР. 3, ПОМЕЩ. 5/1 (РМ92)",+7 985 749-43-26; +7 499 238-29-19; +7 916 822-31-51,125413@list.ru,
https://kad.arbitr.ru/Card/20696da8-d8fb-4d2b-9a16-d0a8c137655b,"ООО ЗАВОД ""СПС""",129397.04,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Трофимов Михаил Витальевич,772301001,"115088, ГОРОД МОСКВА, НОВООСТАПОВСКАЯ УЛИЦА, ДОМ 6А, СТРОЕНИЕ 1, ЭТ/ПОМ 4/8",+7 495 980-44-30; +7 903 659-42-92; +7 495 980-84-43,info@zsps-moskva.ru; tm@zsps-moskva.ru,zsps-moskva.ru
https://kad.arbitr.ru/Card/21acb5b5-4289-4197-b6b2-c337830e69fe,"ООО ""РАЗДОЛЬЕ-АГРО""",584226.28,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Сонин Сергей Викторович,712601001,"301016, ТУЛЬСКАЯ ОБЛ, ЗАОКСКИЙ Р-Н, НЕНАШЕВО С, СТР. 6",+7 915 178-75-14,,эко-земли.рф
