Url kad.arbitr,Название,ИНН,Номер дела,Сумма иска,Проверить сумму иска,Директор,КПП,ОГРН,Дата присвоения ОГРН,Адрес,Sbisru Телефон,Sbisru Эл. почта,VbankCenterru Телефон,VbankCenterru Эл. почта
https://kad.arbitr.ru/Card/ce93ec7e-2a63-4b9e-baf9-eb6b0fbda89c,"ООО ""ТЕЛС ГЛОБАЛ""",7733767307,А40-49135/2024,869851.57,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Вельма Максим Александрович,771501001,1117746368300,10.05.2011,"127015, ГОРОД МОСКВА, НОВОДМИТРОВСКАЯ УЛИЦА, ДОМ 2, КОРПУС 1, ПОМ LXIII КОМ 3",,mochalina@telsgroup.ru,,
https://kad.arbitr.ru/Card/49c2c3f6-7718-4fc7-9d40-ed22134a5539,"ООО ""ВПТ""",7705486752,А40-49120/2024,4352000,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Мартинович Александр Леонидович,770301001,1037705006976,29.01.2003,"121069, ГОРОД МОСКВА, СКАТЕРТНЫЙ ПЕРЕУЛОК, 5А",,,,
https://kad.arbitr.ru/Card/7a384904-330f-49ab-9e14-4a9b372a4e5d,"ООО ""АН ""ЕСТЭЙТ +""",7710957630,А40-49110/2024,0,да,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Голоднов Вадим Олегович,771001001,1147746188842,26.02.2014,"123001, ГОРОД МОСКВА, ТРЁХПРУДНЫЙ ПЕРЕУЛОК, ДОМ 11/13, СТРОЕНИЕ 2, ПОМ. 111; КОМ.1",,,+7 (915) 172-34-94 ,azimutkadastr@gmail.com
https://kad.arbitr.ru/Card/cf8b537d-9e0a-4a5a-be69-d21b465f809e,"ООО ""УКЛАД АССЭТ МЕНЕДЖМЕНТ""",9725078804,А40-49084/2024,0,да,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Стариков Анатолий Евгеньевич,771301001,1227700170950,28.03.2022,"127206, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТИМИРЯЗЕВСКИЙ, ВУЧЕТИЧА УЛ., Д. 12, СТР. 3",,,,
https://kad.arbitr.ru/Card/b13cd1ae-5218-4c33-8c49-35c51dada198,"ООО ""ТРИ А""",7743237404,А40-49073/2024,6301659.97,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Королева Анна Игоревна,774301001,5177746327260,14.12.2017,"125057, ГОРОД МОСКВА, ЛЕНИНГРАДСКИЙ ПРОСПЕКТ, ДОМ 75, КОРПУС 1А, КОМНАТА 1-14",,,+7 (495) 620-09-41 ; +7 (909) 994-99-99 ,attoshop@bk.ru; 89099949999@mail.ru
https://kad.arbitr.ru/Card/2ced1b90-e44f-4d15-a7a7-687fcd79f57a,"ООО ""СК ТОНЕКО """,7708416778,А40-49072/2024,190071.76,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Белов Александр Сергеевич,770801001,1237700191740,10.03.2023,"107140, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КРАСНОСЕЛЬСКИЙ, ВЕРХНЯЯ КРАСНОСЕЛЬСКАЯ УЛ., Д. 16Б, СТР. 2, ПОМЕЩ. 109",,info@sktoneko.ru,,
https://kad.arbitr.ru/Card/4de211c6-13bb-4679-ad95-7915696563c4,"ООО ""ГРУЗ ТОРГ""",9731053124,А40-49071/2024,879980.66,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Стулов Роман Евгеньевич,773101001,1197746599786,07.10.2019,"121609, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КРЫЛАТСКОЕ, ОСЕННЯЯ УЛ., Д. 23, ПОМЕЩ. 114А/1/9",,,,
https://kad.arbitr.ru/Card/cfc38b7b-fdc5-4db4-9f31-f2b5399cdd7e,"ООО ""ГОРОДСКАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ДОМЖИЛСЕРВИС""",5029140514,А40-49057/2024,4361207.17,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Гашичев Дмитрий Юрьевич,502901001,1105029009128,30.06.2010,"141021, РОССИЯ, МОСКОВСКАЯ ОБЛ., МЫТИЩИ Г.О., МЫТИЩИ Г., БОРИСОВКА УЛ., Д. 4, ПОМЕЩ. X, КОМ. 9",8 (495) 780-70-83,info@ukdgs.com,+7 (495) 780-70-83 ,info@ukdgs.com
https://kad.arbitr.ru/Card/5351fab0-0e67-48e9-b5cc-af981544c3da,"ООО ""ПИК-КОМФОРТ""",7701208190,А40-49050/2024,236269,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Розанов Илья Владимирович,773401001,1027700082266,31.07.2002,"123060, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЩУКИНО, МАРШАЛА СОКОЛОВСКОГО УЛ., Д. 3, ЭТАЖ 5, ПОМЕЩ. II КОМ. 2,4",,hotline@pik-comfort.ru,+7 (495) 505-97-33 ,hotline@pik-comfort.ru
https://kad.arbitr.ru/Card/e143e46b-c069-49dd-8a1d-25578807ce47,"ООО ""ГАМ ЭНД КЕНДИ""",3664215305,А40-49032/2024,11196531.96,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Мартынова Анастасия Михайловна,366101001,1163668054857,29.01.2016,"394033, ВОРОНЕЖСКАЯ ОБЛАСТЬ, ВОРОНЕЖ ГОРОД, ЗЕМЛЯЧКИ УЛИЦА, ДОМ 23А, ОФИС 9",,,+7 (919) 239-56-64 ,glav_buh@snackinter.ru
https://kad.arbitr.ru/Card/2d5ed667-8a70-4125-a1e9-054828159861,"ООО ""ЗИТА""",7801336862,А40-49031/2024,183567.36,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Серпионов Георгий Викторович,781601001,1177847299288,08.09.2017,"192102, РОССИЯ, Г. САНКТ-ПЕТЕРБУРГ, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ВОЛКОВСКОЕ, БУХАРЕСТСКАЯ УЛ., Д. 32, ЛИТЕР А, ОФИС 4-54, Ч.ПОМ. 12-Н",,taxi.megataxi@yandex.ru,+7 (921) 360-16-43 ,
https://kad.arbitr.ru/Card/8553bd4c-35e8-470d-9886-08a72799c81d,"ООО ""ПЕТРОЛЕУМ""",6316025813,А40-49028/2024,1600090,нет,ДИРЕКТОР: Демина Ирина Викторовна,770401001,1026301180564,03.03.2003,"119435, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ХАМОВНИКИ, БОЛЬШОЙ САВВИНСКИЙ ПЕР., Д. 9, СТР. 3",,ooopetroleum1993@mail.ru,+7 (846) 336-27-06 ; +7 (927) 205-99-34 ,ocelot_82@mail.ru
https://kad.arbitr.ru/Card/0e501e12-a475-4a95-9d58-284bd5ee7b76,"""ТСЖ ""НИЖЕГОРОДСКОЕ""",7722165445,А40-49027/2024,434943.63,нет,ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ: Максимов Александр Львович,772201001,1037739540189,10.02.2003,"109052, ГОРОД МОСКВА, НИЖЕГОРОДСКАЯ УЛИЦА, ДОМ 86КА, ОФИС 4 ТП",8 (495) 678-21-65,,+7 (495) 916-14-15 ,
https://kad.arbitr.ru/Card/6eae726f-57ae-4656-afc8-9c5768b96def,"ТСЖ ""ЖЕМЧУЖИНА""",7718269956,А40-49024/2024,979712.55,нет,ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ: Кукушкин Александр Евгеньевич,771801001,1077799008760,26.04.2007,"107014, ГОРОД МОСКВА, БОЛЬШАЯ ОСТРОУМОВСКАЯ УЛИЦА, 19",8 (495) 603-34-01,,,
https://kad.arbitr.ru/Card/66de35c2-6119-4b5d-ae17-20e4da6c4041,"ООО ""РЕМСТРОЙ""",4253034400,А40-49020/2024,263638.34,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Показаньев Александр Леонидович,421701001,1164205066190,10.06.2016,"654080, КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС, НОВОКУЗНЕЦК ГОРОД, ТОЛЬЯТТИ (ЦЕНТРАЛЬНЫЙ Р-Н) УЛ, ДОМ 42, КВАРТИРА 38",,,+7 (906) 988-21-41 ; +7 (913) 292-74-57 ,pal809@rambler.ru; pokazanev1980asa@gmail.com
https://kad.arbitr.ru/Card/b72cf6b9-de32-4686-8de1-92dad9fbc14c,"ООО ""ТГ ""РУСЖДТРАНС""",7708290194,А40-49019/2024,145000,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Буданов Алексей Витальевич,770801001,1167746446812,05.05.2016,"107078, ГОРОД МОСКВА, НОВОРЯЗАНСКАЯ УЛИЦА, ДОМ 18, СТРОЕНИЕ 10-12, ПОМЕЩЕНИЕ 11",,,+7 (903) 250-64-33 ,etesheva@tgrzdtrans.ru
https://kad.arbitr.ru/Card/88d36bd3-daf1-4860-a5b3-115415a55ad4,"ООО ""СТРОЙПРОЕКТ-М""",7718815316,А40-48993/2024,193242,нет,Генеральный директор: Черных Александр Геннадьевич,771901001,1107746614832,04.08.2010,"105187, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ СОКОЛИНАЯ ГОРА, БОРИСОВСКАЯ УЛ., Д. 1, ПОМЕЩ. 1/7",,,+7 (499) 164-16-50 ; +7 (903) 960-17-09 ,chernykh@stroyp.ru
https://kad.arbitr.ru/Card/52de09be-d5c7-4541-a2f6-c99e92a46b46,"ООО ""БРАМИ""",7720814246,А40-48985/2024,472128.38,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Сивак Алексей Владимирович,772001001,1147746557408,19.05.2014,"111672, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ НОВОКОСИНО, НОВОКОСИНСКАЯ УЛ., Д. 14, К. 6, КВ. 151",,,+7 (495) 783-06-56 ,avsivak@bramy.ru
https://kad.arbitr.ru/Card/d95b4397-02fb-400e-8992-a8665dc5daca,"ООО ""ПТК""",7717751405,А40-48984/2024,361831.5,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Паниткин Александр Георгиевич,774301001,1137746358485,19.04.2013,"125080, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ СОКОЛ, ВОЛОКОЛАМСКОЕ Ш., Д. 2, ЭТАЖ 19, ПОМЕЩ. I/КОМН 19",,info@1tkom.ru,+7 (985) 266-32-11 ,ooo.ptk.company@gmail.com
https://kad.arbitr.ru/Card/b714db99-75ff-4d2a-91ed-24ebce2ba642,"ООО ""ЛЕВИТЭК""",7720269375,А40-48982/2024,371449.35,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Осипов Алексей Сергеевич,772201001,1027720007369,12.11.2002,"109125, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ТЕКСТИЛЬЩИКИ, 1-Й САРАТОВСКИЙ ПР-Д, Д. 4, КАБ. 2",8 (495) 150-33-65,m.rahmatulina@levitek.ru,+7 (916) 138-49-18 ; +7 (495) 240-52-53 ; +7 (495) 240-52-52 ; +7 (495) 240-55-53 ,m.rahmatulina@levitek.ru; sales@vego-trade.ru; sales@vengo-trade.ru
https://kad.arbitr.ru/Card/0cb82627-8d5a-4f4b-884d-9222b13fce33,"ООО ""ЯНДЕКС""",7736207543,А40-48956/2024,346191.4,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Савиновский Артем Геннадьевич,770401001,1027700229193,18.09.2002,"119021, ГОРОД МОСКВА, ЛЬВА ТОЛСТОГО УЛИЦА, 16",,adv@yandex-team.ru,+7 (495) 739-70-00 ,
https://kad.arbitr.ru/Card/d4963528-ef3a-42f8-b660-050531dc2599,"ООО ""БАЛАШИХА-ЭКСПРЕСС""",5001041930,А40-48952/2024,748915.28,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Бураев Зеламхан Хамзанович,500101001,1035000713956,02.06.2003,"143900, МОСКОВСКАЯ ОБЛАСТЬ, БАЛАШИХА ГОРОД, ЛЕНИНА ПРОСПЕКТ, 73",8 (495) 424-99-12,7862323@net.ru,+7 (495) 786-23-23 ,7862323@net.ru
https://kad.arbitr.ru/Card/fad81c9b-62a8-4781-9ebd-ce038a5318b6,"ООО ""ФЕНИКС""",7720422175,А40-48951/2024,0,да,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Козлов Дмитрий Львович,772001001,1187746427494,23.04.2018,"111399, ГОРОД МОСКВА, ФЕДЕРАТИВНЫЙ ПРОСПЕКТ, ДОМ 5, КОРПУС 1, ЭТАЖ 1 ПОМ 1 КОМ 5 РМ1Л",,,,
https://kad.arbitr.ru/Card/5b2becb4-350c-479a-91f4-017cdb90e279,"ООО ""ВЕЛЕС""",7719473778,А40-48949/2024,3600000,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Кайнова Елена Сергеевна,771901001,5177746189275,10.11.2017,"105203, ГОРОД МОСКВА, НИЖНЯЯ ПЕРВОМАЙСКАЯ УЛИЦА, ДОМ 50, ПОМЕЩЕНИЕ 2",,,+7 (926) 759-25-89 ,masta2011iq@mail.ru
https://kad.arbitr.ru/Card/b57c2a64-19e6-4bc7-80de-c2dfd9e0e40d,"ТСЖ ""ОХОТНИЧЬЯ 6-1""",7718949510,А40-48946/2024,586899.65,нет,ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ: Крючкова Наталья Борисовна,771801001,1137746894560,30.09.2013,"107014, ГОРОД МОСКВА, ОХОТНИЧЬЯ УЛИЦА, ДОМ 6, КВАРТИРА 4",,,+7 (905) 510-51-55 ,e.klueva@mail.ru
https://kad.arbitr.ru/Card/bcbc3394-44bf-4741-906e-4afaf52cdecb,"ООО ""СМАРТПИТ""",7841089850,А40-48945/2024,324476.81,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Погарцева Елена Васильевна,784001001,1207800090453,24.07.2020,"191186, РОССИЯ, Г. САНКТ-ПЕТЕРБУРГ, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ № 78, БОЛЬШАЯ МОРСКАЯ УЛ., Д. 18, ЛИТЕРА А, ПОМЕЩ. 1-Н, Ч.П. 578, 582, 583, 584, ЧАСТЬ Ч.П. 577",,info.smartfood@yandex.ru,,
https://kad.arbitr.ru/Card/a6383126-bd6d-47aa-b16d-ea06538fc9cc,"ООО ""МСК АЛЬЯНС""",9701135740,А40-48941/2024,7159929.24,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Сайко Максим Николаевич,770101001,1197746352176,30.05.2019,"105082, ГОРОД МОСКВА, БАЛАКИРЕВСКИЙ ПЕРЕУЛОК, ДОМ 1А, ПОМЕЩЕНИЕ 4 КОМНАТА 2",,,,
https://kad.arbitr.ru/Card/7264ff64-032e-4cf4-95b4-739f1bd05f90,"ООО ""ХОЛМИКС-ТРЕЙДИНГ""",7724893351,А40-48937/2024,558120.01,нет,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР: Верьялов Виктор Витальевич,772401001,1137746928197,09.10.2013,"115230, ГОРОД МОСКВА, ХЛЕБОЗАВОДСКИЙ ПРОЕЗД, ДОМ 7, СТРОЕНИЕ 9, ОФИС 901",,,+7 (968) 668-94-46 ,mail@holmix.ru
https://kad.arbitr.ru/Card/cd3fb0b2-2715-43b5-a2ca-8fe7b38625c4,"ООО ""ФИТ""",7710293280,А40-48844/2024,549710.4,нет,"Управляющая организация: ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНОЕ МОРСКОЕ ПАРОХОДСТВО""",770501001,1027739043023,05.08.2002,"115184, РОССИЯ, Г. МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЗАМОСКВОРЕЧЬЕ, НОВОКУЗНЕЦКАЯ УЛ., Д. 7/11, СТР. 1, ЭТАЖ 3, КАБ. 338",,vvo@fesco.com,+7 (800) 234-44-99 ; +7 (914) 705-29-25 ; +7 (423) 252-14-14 ; +7 (423) 205-71-10 ; +7 (495) 730-01-40 ; +7 (495) 780-60-01 ; +7 (423) 252-11-05 ; +7 (495) 788-66-01 ; +7 (423) 252-12-55 ,fit-tender@fesco.com; salesvvo@fesco.com; aaegorov@fesco.com; mshilov@fesco.co; fesco@fesco.ru; fesco@fesco.com; vvo@mail.ru; sales@fesco.com; vvetolskiy@fesco.com
https://kad.arbitr.ru/Card/d002c031-9ddc-47a8-9429-35b6d5152212,"ООО ""ЭЛИТСТРОЙ""",5032342165,А40-48842/2024,9890868.94,нет,ДИРЕКТОР: Тупицын Дмитрий Владимирович,503201001,1225000061813,17.06.2022,"143026, РОССИЯ, МОСКОВСКАЯ ОБЛ., ОДИНЦОВСКИЙ Г.О., МАРФИНО Д., Д. 99, ОФИС 25",,elitstroi97@mail.ru,,
